priority,url,page_type,primary_keyword,target_city,current_title,current_title_len,recommended_title,recommended_title_len,current_meta,recommended_meta,recommended_meta_len,h1_change,jsonld_to_add,notes
P3 NEW,/services/spray-foam-insulation-fort-myers,site_page (NEW),spray foam insulation Fort Myers FL,Fort Myers,(does not exist),0,"Spray Foam Insulation Fort Myers FL | FPL Rebate",49,(does not exist),"Open & closed-cell spray foam in Fort Myers — cuts AC bills 25–40%, hurricane-rated, FPL $220 rebate, lifetime warranty. Free thermal scan in Lee County.",159,"Spray Foam Insulation in Fort Myers, FL","service-spray-foam.json (city-customized) + faq-spray-foam.json + breadcrumb","Use the new service-city template."
P3 NEW,/services/spray-foam-insulation-cape-coral,site_page (NEW),spray foam insulation Cape Coral FL,Cape Coral,(does not exist),0,"Spray Foam Insulation Cape Coral FL | Canal Homes",51,(does not exist),"Spray foam for Cape Coral canal homes — moisture control, hurricane resilience, FPL rebate. Lifetime warranty, in-house crews. (239) 455-2002.",147,"Spray Foam Insulation in Cape Coral, FL","service-spray-foam.json (city-customized) + faq-spray-foam.json + breadcrumb","Cape Coral has unique moisture/canal angle — emphasize closed-cell."
P3 NEW,/services/attic-insulation-fort-myers,site_page (NEW),attic insulation Fort Myers FL,Fort Myers,(does not exist),0,"Attic Insulation Fort Myers FL | FPL Rebate Pre-Approved",58,(does not exist),"Attic insulation upgrades across Fort Myers — spray foam, blown-in, batts. FPL Preferred Contractor: $220 rebate processed on-site. Free thermal scan.",153,"Attic Insulation in Fort Myers, FL","service-attic.json (city-customized) + faq-spray-foam.json + breadcrumb",
P3 NEW,/services/attic-insulation-cape-coral,site_page (NEW),attic insulation Cape Coral FL,Cape Coral,(does not exist),0,"Attic Insulation Cape Coral FL | FPL $220 Rebate",49,(does not exist),"Cape Coral attic insulation — spray foam, blown-in, R-30 to R-49. Cuts AC bills 25–40%, FPL rebate processed at install. Free same-day estimate.",149,"Attic Insulation in Cape Coral, FL","service-attic.json (city-customized) + faq-spray-foam.json + breadcrumb",
P3 NEW,/services/blown-in-insulation-fort-myers,site_page (NEW),blown-in insulation Fort Myers FL,Fort Myers,(does not exist),0,"Blown-In Attic Insulation Fort Myers FL | One-Day Install",58,(does not exist),"Blown-in cellulose, fiberglass & Rockwool attic insulation in Fort Myers. Most jobs done in one day. FPL $220 rebate processed at install.",141,"Blown-In Insulation in Fort Myers, FL","service-blown-in.json (city-customized) + breadcrumb",
P3 NEW,/services/insulation-removal-fort-myers,site_page (NEW),insulation removal Fort Myers FL,Fort Myers,(does not exist),0,"Insulation Removal Fort Myers FL | Same-Day Service",53,(does not exist),"Storm, water, or rodent damage? Same-day insulation removal in Fort Myers & Lee County. HEPA-vacuumed, OSHA-safe. Replacement scoped at the same visit.",153,"Insulation Removal in Fort Myers, FL","service-removal.json (city-customized) + breadcrumb",
P3 NEW,/services/spray-foam-insulation-bonita-springs,site_page (NEW),spray foam Bonita Springs FL,Bonita Springs,(does not exist),0,"Spray Foam Insulation Bonita Springs FL",40,(does not exist),"Spray foam insulation in Bonita Springs — open & closed-cell, hurricane-rated, FPL rebate. Free thermal scan in Lee County.",126,"Spray Foam Insulation in Bonita Springs, FL","service-spray-foam.json (city-customized) + breadcrumb",
P3 NEW,/services/spray-foam-insulation-marco-island,site_page (NEW),spray foam Marco Island FL,Marco Island,(does not exist),0,"Spray Foam Insulation Marco Island FL | Coastal Homes",55,(does not exist),"Spray foam for Marco Island coastal homes — closed-cell moisture barrier, hurricane-rated roof decks, FPL rebate. (239) 455-2002.",129,"Spray Foam Insulation in Marco Island, FL","service-spray-foam.json (city-customized) + breadcrumb","Coastal angle: closed-cell on roof deck for storm + salt-air resilience."
P3 NEW,/fpl-rebate-naples,landing_page (NEW),FPL insulation rebate Naples,Naples,(does not exist),0,"FPL Insulation Rebate Naples FL | Get $220 Instant",51,(does not exist),"Get the FPL $220 ceiling insulation rebate processed instantly at install. Naples & SWFL FPL Preferred Contractor since 2013. Free pre-qualification.",149,"Claim Your FPL Insulation Rebate in Naples","local-business.json + custom Offer schema",
P3 NEW,/federal-tax-credit-insulation-florida,landing_page (NEW),30% federal tax credit insulation,SWFL,(does not exist),0,"30% Federal Tax Credit Insulation Florida (Section 25C)",58,(does not exist),"Get up to 30% off your insulation upgrade with the federal Energy Efficient Home Improvement Credit (Section 25C). Documentation included. SWFL.",146,"Section 25C Insulation Tax Credit",,"Pair with the FPL rebate page in internal nav."
